sep=;
.text;SmartExplorer
.text;Version 2.2.2.29916
.text;Copyright (C) 2021 OTT HydroMet B.V.
.text;
.text;Logfile created on;;17/02/2024
.text;
.text;Date;Time;Channel;Status;Modbus ID;Serial Nr;Type;Softw. Rel.;Hardw. Rel.;Sensitivity (uV/W/m2);Scalefactor;
.text;2024-02-17;08:41:51;01;Ready;001;22-3080;SMP3-A;V250;V001;22.1591;0.1;
.text;2024-02-17;08:41:51;02;n.a.;
.text;2024-02-17;08:41:51;03;n.a.;
.text;2024-02-17;08:41:51;04;n.a.;
.text;2024-02-17;08:41:51;05;n.a.;
.text;2024-02-17;08:41:51;06;n.a.;
.text;2024-02-17;08:41:51;07;n.a.;
.text;2024-02-17;08:41:51;08;n.a.;
.text;2024-02-17;08:41:51;09;n.a.;
.text;2024-02-17;08:41:51;10;n.a.;
.text;
.text
.text;Channel;<>;Ch.1;;Ch.2;;Ch.3;;Ch.4;;Ch.5;;Ch.6;;Ch.7;;Ch.8;;Ch.9;;Ch.10;;
.text;Info;<>;Radiation;Body Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;
.text;Serial NR;<>;22-3080;22-3080;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
.text;Date;Time;W/m2;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;
.data;2024-02-17;08:57:20;27.2;11.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:57:25;27.2;11.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:57:30;27.3;11.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:57:35;27.3;11.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:57:40;27.3;11.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:57:45;27.4;11.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:57:50;27.6;11.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:57:55;27.8;11.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:58:00;28.0;11.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:58:05;28.0;11.72;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:58:10;28.0;11.70;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:58:15;28.0;11.70;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:58:20;28.0;11.70;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:58:25;28.1;11.70;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:58:30;28.3;11.70;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:58:35;28.4;11.70;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:58:40;28.5;11.70;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:58:45;28.5;11.70;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:58:50;28.5;11.70;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:58:55;28.4;11.70;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:59:00;28.3;11.70;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:59:05;28.3;11.70;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:59:10;28.3;11.70;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:59:15;28.3;11.70;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:59:20;28.4;11.68;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:59:25;28.6;11.64;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:59:30;28.7;11.66;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:59:35;28.8;11.60;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:59:40;28.9;11.62;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:59:45;29.0;11.60;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:59:50;29.1;11.60;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:59:55;29.2;11.60;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;09:00:00;29.3;11.60;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;09:00:05;29.3;11.60;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;09:00:10;29.3;11.60;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;09:00:15;29.2;11.60;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;09:00:20;29.1;11.60;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;09:00:25;29.1;11.60;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;09:00:30;29.2;11.60;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;09:00:35;29.2;11.60;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;09:00:40;29.3;11.60;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;09:00:45;29.3;11.60;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;09:00:50;29.2;11.60;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;09:00:55;29.2;11.60;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;09:01:00;29.1;11.50;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;09:01:05;29.0;11.52;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;09:01:10;28.9;11.50;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;09:01:15;28.7;11.50;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;09:01:20;28.6;11.50;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;09:01:25;28.5;11.50;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;09:01:30;28.5;11.50;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;09:01:35;28.5;11.50;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;09:01:40;28.5;11.50;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;09:01:45;28.7;11.50;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;09:01:50;28.8;11.50;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;09:01:55;29.0;11.50;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;09:02:00;29.1;11.50;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;09:02:05;29.3;11.50;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;09:02:10;29.5;11.50;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;09:02:15;29.7;11.50;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;09:02:20;29.9;11.48;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;09:02:25;30.0;11.46;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;09:02:30;30.2;11.44;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;09:02:35;30.4;11.40;;;;;;;;;;;;;;;;;;;
