sep=;
.text;SmartExplorer
.text;Version 2.2.2.29916
.text;Copyright (C) 2021 OTT HydroMet B.V.
.text;
.text;Logfile created on;;16/02/2024
.text;
.text;Date;Time;Channel;Status;Modbus ID;Serial Nr;Type;Softw. Rel.;Hardw. Rel.;Sensitivity (uV/W/m2);Scalefactor;
.text;2024-02-16;09:34:16;01;Ready;001;22-3080;SMP3-A;V250;V001;22.1591;0.1;
.text;2024-02-16;09:34:16;02;n.a.;
.text;2024-02-16;09:34:16;03;n.a.;
.text;2024-02-16;09:34:16;04;n.a.;
.text;2024-02-16;09:34:16;05;n.a.;
.text;2024-02-16;09:34:16;06;n.a.;
.text;2024-02-16;09:34:16;07;n.a.;
.text;2024-02-16;09:34:16;08;n.a.;
.text;2024-02-16;09:34:16;09;n.a.;
.text;2024-02-16;09:34:16;10;n.a.;
.text;
.text
.text;Channel;<>;Ch.1;;Ch.2;;Ch.3;;Ch.4;;Ch.5;;Ch.6;;Ch.7;;Ch.8;;Ch.9;;Ch.10;;
.text;Info;<>;Radiation;Body Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;
.text;Serial NR;<>;22-3080;22-3080;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
.text;Date;Time;W/m2;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;
.data;2024-02-16;09:47:00;85.6;11.10;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:47:05;86.7;11.10;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:47:10;88.3;11.10;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:47:15;90.2;11.10;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:47:20;92.3;11.10;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:47:25;94.6;11.10;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:47:30;96.9;11.10;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:47:35;99.1;11.10;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:47:40;101.9;11.06;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:47:45;104.8;11.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:47:50;107.3;11.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:47:55;108.7;11.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:48:00;109.1;11.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:48:05;108.8;11.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:48:10;106.4;11.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:48:15;102.3;11.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:48:20;98.0;11.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:48:25;93.5;11.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:48:30;88.9;11.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:48:35;84.6;11.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:48:40;81.2;11.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:48:45;78.6;11.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:48:50;76.8;11.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:48:55;75.4;11.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:49:00;74.7;11.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:49:05;74.9;11.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:49:10;76.7;11.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:49:15;79.4;11.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:49:20;82.3;11.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:49:25;85.2;10.98;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:49:30;88.7;10.94;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:49:35;91.3;10.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:49:40;92.8;10.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:49:45;93.2;10.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:49:50;92.6;10.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:49:55;91.7;10.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:50:00;91.1;10.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:50:05;90.3;10.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:50:10;89.6;10.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:50:15;88.9;10.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:50:20;88.0;10.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:50:25;87.1;10.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:50:30;86.2;10.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:50:35;85.6;10.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:50:40;85.7;10.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:50:45;86.6;10.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:50:50;88.3;10.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:50:55;90.3;10.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:51:00;92.0;10.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:51:05;93.9;10.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:51:10;92.0;10.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:51:15;88.7;10.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:51:20;96.6;10.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:51:25;99.3;10.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:51:30;101.2;10.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:51:35;102.3;10.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:51:40;102.5;10.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:51:45;100.4;10.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:51:50;95.9;10.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:51:55;92.0;10.86;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:52:00;89.7;10.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:52:05;88.7;10.84;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:52:10;90.0;10.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:52:15;91.5;10.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:52:20;92.8;10.82;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:52:25;94.2;10.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:52:30;96.3;10.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:52:35;98.9;10.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:52:40;100.9;10.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:52:45;103.2;10.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:52:50;104.4;10.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:52:55;105.2;10.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:53:00;106.4;10.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:53:05;108.7;10.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:53:10;111.2;10.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:53:15;114.2;10.80;;;;;;;;;;;;;;;;;;;
